date_time,vehicle_id,coord,gps_coord,spd,edge,lane,displacement,turn_angle,next_tls
2023-03-02 17:00:53.027,97,"[2865.365779984159, 1058.0861781541864]","[114.33288758728055, 30.50640010546421]",101.68,268000578#1,268000578#1_1,1261.38,215.46,()
2023-03-02 17:00:53.017,97,"[2881.7428242132014, 1081.0761398734999]","[114.33305241797298, 30.5066108301806]",101.4,268000578#1,268000578#1_1,1233.14,215.46,()
2023-03-02 17:00:53.007,97,"[2898.0740823819215, 1104.001827493082]","[114.33321678853025, 30.50682096559214]",104.69,268000578#1,268000578#1_1,1204.97,215.46,()
2023-03-02 17:00:52.996,97,"[2914.935378677996, 1127.6715783323289]","[114.33338649452844, 30.507037920860128]",101.79,268000578#1,268000578#1_1,1175.89,215.46,()
2023-03-02 17:00:52.986,97,"[2931.3300543447704, 1150.6862909207757]","[114.33355150477556, 30.507248871918094]",103.89,268000578#1,268000578#1_1,1147.62,215.46,()
2023-03-02 17:00:52.977,97,"[2948.0629582481506, 1174.1758055616092]","[114.33371991996091, 30.50746417479608]",104.75,268000578#1,268000578#1_1,1118.76,215.46,()
2023-03-02 17:00:52.967,97,"[2964.9334759105877, 1197.858501280085]","[114.33388972094843, 30.50768124817266]",103.97,268000578#1,268000578#1_1,1089.66,215.46,()
2023-03-02 17:00:52.958,97,"[2981.679052018423, 1221.3658050586432]","[114.33405826513176, 30.507896713741797]",101.94,268000578#1,268000578#1_1,1060.78,215.46,()
2023-03-02 17:00:52.949,97,"[2998.0034992059914, 1244.5268757662404]","[114.33422251107653, 30.508108968419595]",97.34,268000578#0,268000578#0_1,1032.47,214.76,()
2023-03-02 17:00:52.939,97,"[3010.773792498683, 1268.5409316525881]","[114.3343495472383, 30.508328154594775]",90.8,268000578#0,268000578#0_0,1005.43,214.77,()
2023-03-02 17:00:52.930,97,"[3025.134504895078, 1289.2461219253887]","[114.33449395522304, 30.508517853029904]",85.51,268000578#0,268000578#0_0,980.2,214.51,()
