dateandtime,vehid,coord,gps_coord,spd,edge,lane,displacement,turn_angle,next_tls
2023-03-02 06:44:34.353,6,"[1635.6417013754253, 1659.120756195118]","[114.31993718135453, 30.511555074824738]",42.25,-161503499#6,-161503499#6_0,44.56,183.13,()
2023-03-02 06:44:34.354,7,"[204.91892760064434, 808.0784226999464]","[114.30525410538374, 30.50357651722089]",19.17,:2401390757_6,:2401390757_6_0,10.75,90.94,()
2023-03-02 06:44:34.355,8,"[1813.7963146512843, 1860.2698326971463]","[114.32174216771764, 30.51340638742698]",0.0,-265762565#2,-265762565#2_0,0.0,347.04,()
2023-03-02 06:44:34.357,0,"[942.6962843976629, 578.2113403995389]","[114.31299122794161, 30.501663159927762]",42.7,231808116#3,231808116#3_0,280.12,51.08,()
2023-03-02 06:44:34.358,1,"[2231.843663599992, 939.1420516648202]","[114.32632180556269, 30.505192727344834]",72.16,:2478523793_1,:2478523793_1_1,237.69,289.03,()
2023-03-02 06:44:34.359,2,"[1427.4286747162546, 1125.274872969667]","[114.31790170869273, 30.506698372097524]",76.89,-267612556#5,-267612556#5_1,186.03,91.56,()
2023-03-02 06:44:34.360,3,"[2464.3901033759053, 2367.6572115964327]","[114.32839033088908, 30.51811911937724]",44.54,282304746,282304746_0,135.91,307.26,()
2023-03-02 06:44:34.361,4,"[2785.1548054504597, 1441.8453605708269]","[114.33195805606861, 30.50984224554749]",51.12,-725894815#0,-725894815#0_0,134.02,38.11,"(('838310065', 0, 2660.6195532167103, 'y'),)"
2023-03-02 06:44:34.362,5,"[1801.02626303692, 1787.9598110149027]","[114.32162710041692, 30.512751850165102]",37.07,-265762563#1,-265762563#1_0,86.38,270.98,()
2023-03-02 06:44:34.363,6,"[1634.8964603857228, 1645.4753122265633]","[114.31993279905417, 30.511431915160276]",49.2,-161503499#6,-161503499#6_0,58.23,183.13,()
2023-03-02 06:44:34.364,7,"[212.66247655645216, 807.3564056404532]","[114.30533489347918, 30.503571676586226]",27.99,231808154#1,231808154#1_0,18.53,95.64,()
2023-03-02 06:44:34.365,8,"[1813.4311449880895, 1861.8566608699382]","[114.32173797356809, 30.51342061292929]",5.86,-265762565#2,-265762565#2_0,1.63,347.04,()
2023-03-02 06:44:34.367,0,"[956.4047625621033, 579.6040546066677]","[114.31313358278763, 30.50167865722052]",49.94,231808116#3,231808116#3_0,293.99,92.48,()
2023-03-02 06:44:34.368,1,"[2210.7837025932904, 946.5846270386891]","[114.32610073212784, 30.505255314862353]",80.25,:4534995022_3,:4534995022_3_1,259.98,289.82,()
2023-03-02 06:44:34.369,2,"[1450.1412882494549, 1124.6501984695074]","[114.31813830635768, 30.506697609763872]",81.79,:2733796942_7,:2733796942_7_1,208.75,91.64,()
2023-03-02 06:44:34.370,3,"[2458.1249099693787, 2372.4223161084633]","[114.32832392512498, 30.518160734044354]",28.34,282304746,282304746_0,143.79,307.26,()
2023-03-02 06:44:34.370,4,"[2793.260756247046, 1452.1809737002327]","[114.3320398988121, 30.509937140325395]",47.29,-725894815#0,-725894815#0_0,147.16,38.11,"(('838310065', 0, 2647.4845396892856, 'y'),)"
2023-03-02 06:44:34.371,5,"[1790.5787302632993, 1788.1377162324177]","[114.32151828838232, 30.512751216928184]",37.62,-265762563#1,-265762563#1_0,96.82,270.98,()
2023-03-02 06:44:34.372,6,"[1634.0516793348054, 1630.0072788584657]","[114.31992783141888, 30.511292305351354]",55.77,-161503499#6,-161503499#6_0,73.72,183.13,()
2023-03-02 06:44:34.373,7,"[222.25281367552967, 806.3945161161928]","[114.30543496585607, 30.503565071396274]",34.7,231808154#1,231808154#1_0,28.16,95.73,()
2023-03-02 06:44:34.373,8,"[1812.7567517447433, 1864.9622527030208]","[114.321730184548, 30.513448462376978]",11.44,-265762565#2,-265762565#2_0,4.81,347.49,()
2023-03-02 06:44:34.377,0,"[969.9989631669623, 579.0160383599043]","[114.31327523920805, 30.501676275594274]",48.98,231808116#3,231808116#3_0,307.6,92.48,()
2023-03-02 06:44:34.378,1,"[2188.4394360558886, 955.1237872494893]","[114.32586601799687, 30.505327512182674]",86.08,231820215#1,231820215#1_1,283.89,291.05,()
2023-03-02 06:44:34.379,2,"[1475.0710352236315, 1123.86031047729]","[114.31839802577282, 30.506695832946825]",89.77,-267612556#4,-267612556#4_1,233.69,91.9,()
2023-03-02 06:44:34.380,3,"[2456.2378860336225, 2375.116483240578]","[114.32830361364584, 30.51818461633397]",12.93,:2862381332_1,:2862381332_1_0,147.38,319.7,()
2023-03-02 06:44:34.381,4,"[2801.667833820792, 1462.9005430057516]","[114.33212478208445, 30.51003556028976]",49.04,-725894815#0,-725894815#0_0,160.78,38.11,"(('838310065', 0, 2633.861575470979, 'y'),)"
2023-03-02 06:44:34.382,5,"[1780.1794304756743, 1788.3148001172742]","[114.3214099787074, 30.512750586524444]",37.44,-265762563#1,-265762563#1_0,107.23,270.98,()
2023-03-02 06:44:34.383,6,"[1633.0688651737137, 1612.0118441574923]","[114.31992205209417, 30.51112988397692]",64.88,-161503499#6,-161503499#6_0,91.74,183.13,()
2023-03-02 06:44:34.384,7,"[233.7842899646911, 805.2379346421445]","[114.30555529344545, 30.50355712917508]",41.72,231808154#1,231808154#1_0,39.75,95.73,()
2023-03-02 06:44:34.386,8,"[1811.5630841123948, 1870.5411202452997]","[114.32171637778814, 30.513498494777426]",20.54,-265762565#2,-265762565#2_0,10.51,347.92,()
2023-03-02 06:44:34.387,9,"[905.9379847207588, 1637.5989304531086]","[114.31234579436085, 30.51120453375773]",0.0,270087466#0,270087466#0_0,0.0,91.59,()
2023-03-02 06:44:34.389,0,"[983.510997349288, 578.4315762163055]","[114.31341603943032, 30.501673908209913]",48.69,231808116#3,231808116#3_0,321.12,92.48,()
2023-03-02 06:44:34.390,1,"[2164.9709626226336, 964.1561600712731]","[114.32561947865878, 30.505403914617933]",90.53,231820215#1,231820215#1_1,309.04,291.05,()
2023-03-02 06:44:34.391,2,"[1501.9869482121535, 1122.9671995062981]","[114.31867844717748, 30.506693550793663]",96.94,-267612556#4,-267612556#4_1,260.62,91.9,()
2023-03-02 06:44:34.392,3,"[2457.7535288299478, 2378.7112155794093]","[114.32831850691169, 30.518217343178932]",14.05,417713709,417713709_0,151.28,17.61,()
2023-03-02 06:44:34.393,4,"[2809.7160517936063, 1473.1625430395006]","[114.33220604223624, 30.510129779113417]",46.95,-725894815#0,-725894815#0_0,173.82,38.11,"(('838310065', 0, 2620.8201131431924, 'y'),)"
2023-03-02 06:44:34.394,5,"[1768.6873179768465, 1788.5104929012175]","[114.32129028729634, 30.51274988976985]",41.38,-265762563#1,-265762563#1_0,118.72,270.98,()
2023-03-02 06:44:34.396,6,"[1631.97765111204, 1592.0315954298808]","[114.31991563533387, 30.510949548265604]",72.04,-161503499#6,-161503499#6_0,111.75,183.13,()
2023-03-02 06:44:34.396,7,"[246.01913342546038, 804.0108070021296]","[114.30568296045419, 30.50354870239188]",44.27,231808154#1,231808154#1_0,52.05,95.73,()
2023-03-02 06:44:34.397,8,"[1810.0322500572302, 1877.6958090309631]","[114.32169867111192, 30.513562659454227]",26.34,-265762565#2,-265762565#2_0,17.83,347.92,()
2023-03-02 06:44:34.398,9,"[907.6641983740388, 1637.55116330761]","[114.31236377720067, 30.511204474033697]",6.22,270087466#0,270087466#0_0,1.73,91.59,()
